Lidinoid 40%,,,,Lidinoid 50%,,,,FCC 40%,,,,FCC 50%,,,
Load,displacement,stress,strain,Load,displacement,stress,strain,Load,displacement,stress ,strain,Load,displacement,stress ,strain
3.44,0.61,2.15,0.01525,0.74,0,0.4625,0,0.33,0,0.20625,0,0.52,0,0.325,0
3.71,0.66,2.31875,0.0165,0.8,0.06,0.5,0.0015,0.29,0.03,0.18125,0.00075,0.61,0.03,0.38125,0.00075
4.26,0.74,2.6625,0.0185,1.08,0.13,0.675,0.00325,0.61,0.1,0.38125,0.0025,0.91,0.1,0.56875,0.0025
4.8,0.81,3,0.02025,1.31,0.2,0.81875,0.005,0.94,0.17,0.5875,0.00425,1.21,0.18,0.75625,0.0045
5.38,0.88,3.3625,0.022,1.54,0.27,0.9625,0.00675,1.25,0.24,0.78125,0.006,1.49,0.25,0.93125,0.00625
5.9,0.96,3.6875,0.024,1.74,0.34,1.0875,0.0085,1.51,0.32,0.94375,0.008,1.72,0.32,1.075,0.008
6.39,1.03,3.99375,0.02575,1.92,0.41,1.2,0.01025,1.78,0.39,1.1125,0.00975,1.95,0.39,1.21875,0.00975
6.94,1.1,4.3375,0.0275,2.13,0.47,1.33125,0.01175,2.03,0.45,1.26875,0.01125,2.16,0.46,1.35,0.0115
7.54,1.17,4.7125,0.02925,2.34,0.55,1.4625,0.01375,2.3,0.53,1.4375,0.01325,2.46,0.53,1.5375,0.01325
8.07,1.24,5.04375,0.031,2.63,0.62,1.64375,0.0155,2.66,0.6,1.6625,0.015,2.83,0.6,1.76875,0.015
8.58,1.31,5.3625,0.03275,2.91,0.69,1.81875,0.01725,2.99,0.67,1.86875,0.01675,3.23,0.67,2.01875,0.01675
9.11,1.38,5.69375,0.0345,3.2,0.76,2,0.019,3.34,0.74,2.0875,0.0185,3.64,0.74,2.275,0.0185
9.6,1.45,6,0.03625,3.48,0.83,2.175,0.02075,3.72,0.81,2.325,0.02025,4.01,0.81,2.50625,0.02025
10.07,1.52,6.29375,0.038,3.74,0.9,2.3375,0.0225,4.13,0.88,2.58125,0.022,4.38,0.88,2.7375,0.022
10.61,1.59,6.63125,0.03975,4,0.97,2.5,0.02425,4.58,0.95,2.8625,0.02375,4.83,0.95,3.01875,0.02375
11.11,1.66,6.94375,0.0415,4.29,1.04,2.68125,0.026,4.98,1.02,3.1125,0.0255,5.24,1.02,3.275,0.0255
11.62,1.73,7.2625,0.04325,4.61,1.12,2.88125,0.028,5.38,1.09,3.3625,0.02725,5.65,1.09,3.53125,0.02725
12.1,1.8,7.5625,0.045,4.89,1.18,3.05625,0.0295,5.79,1.17,3.61875,0.02925,6.05,1.15,3.78125,0.02875
